filename,width,height,class,xmin,ymin,xmax,ymax,image_id
Screenshot_20220630-174232_Crossy_Road.jpeg,720,1480,duck,278,1103,359,1227,0
Screenshot_20220630-174232_Crossy_Road.jpeg,720,1480,car,1,559,225,750,0
Screenshot_20220630-174232_Crossy_Road.jpeg,720,1480,car,510,803,720,989,0
Screenshot_20220630-174232_Crossy_Road.jpeg,720,1480,car,178,1167,438,1358,0
Screenshot_20220630-174232_Crossy_Road.jpeg,720,1480,rock,398,1347,530,1469,0
Screenshot_20220630-174232_Crossy_Road.jpeg,720,1480,rock,625,647,720,779,0
Screenshot_20220630-174232_Crossy_Road.jpeg,720,1480,car,509,156,720,329,0
Screenshot_20220630-174232_Crossy_Road.jpeg,720,1480,rock,650,107,720,214,0
Screenshot_20220630-174232_Crossy_Road.jpeg,720,1480,car,1,101,158,261,0
Screenshot_20220630-174232_Crossy_Road.jpeg,720,1480,tree,59,103,170,350,0
Screenshot_20220630-174232_Crossy_Road.jpeg,720,1480,tree,1,85,54,314,0
Screenshot_20220630-174232_Crossy_Road.jpeg,720,1480,tree,87,1,181,70,0
Screenshot_20220630-174232_Crossy_Road.jpeg,720,1480,tree,307,1,418,129,0
Screenshot_20220630-174232_Crossy_Road.jpeg,720,1480,tree,1,919,67,1056,0
Screenshot_20220630-174232_Crossy_Road.jpeg,720,1480,tree,58,1219,170,1365,0
Screenshot_20220630-174232_Crossy_Road.jpeg,720,1480,tree,52,481,165,619,0
Screenshot_20220630-174232_Crossy_Road.jpeg,720,1480,car,574,7,720,118,0
Screenshot_20220630-174215_Crossy_Road.jpeg,720,1480,car,74,898,285,1052,1
Screenshot_20220630-174215_Crossy_Road.jpeg,720,1480,car,1,1138,134,1312,1
Screenshot_20220630-174215_Crossy_Road.jpeg,720,1480,car,1,1316,119,1478,1
Screenshot_20220630-174215_Crossy_Road.jpeg,720,1480,truck,56,1030,463,1307,1
Screenshot_20220630-174215_Crossy_Road.jpeg,720,1480,car,187,89,430,276,1
Screenshot_20220630-174215_Crossy_Road.jpeg,720,1480,car,414,56,678,245,1
Screenshot_20220630-174215_Crossy_Road.jpeg,720,1480,log,5,290,267,423,1
Screenshot_20220630-174215_Crossy_Road.jpeg,720,1480,log,209,438,465,572,1
Screenshot_20220630-174215_Crossy_Road.jpeg,720,1480,log,339,378,712,545,1
Screenshot_20220630-174215_Crossy_Road.jpeg,720,1480,log,265,545,647,709,1
Screenshot_20220630-174215_Crossy_Road.jpeg,720,1480,log,570,532,720,636,1
Screenshot_20220630-174215_Crossy_Road.jpeg,720,1480,log,318,745,583,879,1
Screenshot_20220630-174215_Crossy_Road.jpeg,720,1480,lilypad,512,725,605,789,1
Screenshot_20220630-174215_Crossy_Road.jpeg,720,1480,lilypad,565,363,659,427,1
Screenshot_20220630-174215_Crossy_Road.jpeg,720,1480,lilypad,683,399,720,456,1
Screenshot_20220630-174215_Crossy_Road.jpeg,720,1480,rock,252,874,385,996,1
Screenshot_20220630-174215_Crossy_Road.jpeg,720,1480,rock,521,849,656,959,1
Screenshot_20220630-174215_Crossy_Road.jpeg,720,1480,duck,321,1043,387,1163,1
Screenshot_20220630-174215_Crossy_Road.jpeg,720,1480,tree,407,1063,512,1209,1
Screenshot_20220630-174215_Crossy_Road.jpeg,720,1480,tree,519,1058,630,1232,1
Screenshot_20220630-174215_Crossy_Road.jpeg,720,1480,tree,638,1025,720,1267,1
Screenshot_20220630-174215_Crossy_Road.jpeg,720,1480,tree,1,936,54,1079,1
Screenshot_20220630-174215_Crossy_Road.jpeg,720,1480,car,523,7,720,167,1
Screenshot_20220630-174202_Crossy_Road.jpeg,720,1480,log,104,702,475,855,2
Screenshot_20220630-174202_Crossy_Road.jpeg,720,1480,log,589,729,720,829,2
Screenshot_20220630-174202_Crossy_Road.jpeg,720,1480,log,508,897,720,1021,2
Screenshot_20220630-174202_Crossy_Road.jpeg,720,1480,log,1,567,211,693,2
Screenshot_20220630-174202_Crossy_Road.jpeg,720,1480,log,623,836,720,924,2
Screenshot_20220630-174202_Crossy_Road.jpeg,720,1480,lilypad,148,902,244,990,2
Screenshot_20220630-174202_Crossy_Road.jpeg,720,1480,lilypad,384,962,472,1041,2
Screenshot_20220630-174202_Crossy_Road.jpeg,720,1480,lilypad,496,1009,591,1078,2
Screenshot_20220630-174202_Crossy_Road.jpeg,720,1480,car,254,297,525,502,2
Screenshot_20220630-174202_Crossy_Road.jpeg,720,1480,car,30,3,291,153,2
Screenshot_20220630-174202_Crossy_Road.jpeg,720,1480,truck,334,1202,720,1457,2
Screenshot_20220630-174202_Crossy_Road.jpeg,720,1480,car,1,1045,44,1179,2
Screenshot_20220630-174202_Crossy_Road.jpeg,720,1480,duck,301,1059,386,1181,2
Screenshot_20220630-174202_Crossy_Road.jpeg,720,1480,tree,401,1045,515,1217,2
Screenshot_20220630-174202_Crossy_Road.jpeg,720,1480,tree,220,284,344,526,2
Screenshot_20220630-174202_Crossy_Road.jpeg,720,1480,tree,342,386,458,548,2
Screenshot_20220630-174202_Crossy_Road.jpeg,720,1480,tree,127,2,232,219,2
Screenshot_20220630-174202_Crossy_Road.jpeg,720,1480,tree,244,17,354,247,2
